int1364,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(3#ted))
int1149,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(6#ted))
int0171,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(7#ted))
int6437,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(9#ted))
int8431,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(5#ted))
int8865,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(10#ted))
,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(#ellen))
int1457,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(2#ted))
,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(#ellen))
int8078,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(6#ted))
,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(#ellen))
int4001,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(7#ted))
int9998,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(8#ted))
int3862,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(1#ted))
int1025,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(4#ted))
int7801,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(8#ted))
int5997,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(10#ted))
int6073,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(10#ted))
int9487,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(5#ted))
,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(#ellen))
int3263,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(3#ted))
int5258,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(6#ted))
int0952,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(8#ted))
int3183,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(2#ted))
,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(#ellen))
int3674,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(9#ted))
,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(#ellen))
int7571,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(3#ted))
,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(#ellen))
int9970,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(7#ted))
int3300,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(7#ted))
,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(#ellen))
int5441,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(6#ted))
int4232,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(3#ted))
int4232,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(7#ellen))
int5322,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(5#ted))
int8454,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(5#ted))
int8454,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(11#ellen))
int7827,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(7#richard))
int7827,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(reject#7))
int9309,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(8#ted))
int9309,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(10#ellen))
int3272,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(1#ted))
int3272,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(1#ellen))
int7085,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(1#ted))
int7085,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(2#ellen))
int7178,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(6#ted))
int7178,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(17#ellen))
int3952,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(9#ted))
int3952,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(23#ellen))
int1288,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(8#richard))
int1288,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(reject#8))
int4408,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(8#ted))
int4408,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(15#ellen))
int9553,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(8#ted))
int9553,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(4#ellen))
int2100,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(10#ted))
int2100,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(6#ellen))
int0738,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(2#ted))
int0738,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(5#ellen))
int7248,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(2#ted))
